ResourceGroup,AppServiceName,AppServicePlan,OS,SKU,Stack,State,Location,DefaultDomain,AvgCPU(%),AvgMemory(MB)
ConnectingCouples-STG,ConnectingCouplesApi-stg,ConnectingCouples-Stg,Windows,B1,.NET 8.0,Running,Central US,connectingcouplesapi-stg-cfekb7gdccejbcfc.centralus-01.azurewebsites.net,0,0
ConnectingCouples-STG,ConnectingCouples-Api-stg,ConnectingCouples-Stg,Windows,B1,.NET 8.0,Stopped,Central US,connectingcouples-api-stg-c4hrbtgda7a4ejca.centralus-01.azurewebsites.net,0,0
SynapticFlow-Dev,as-synapticflowaccessfusion-dev-cus-fe,asp-synapticflow-web-dev,Linux,B1,Node.js 22-lts,Running,Central US,as-synapticflowaccessfusion-dev-cus-fe.azurewebsites.net,3.27,17.24
SynapticFlow-Dev,app-synaptic-flow-centraus-dev,asp-synapticflow-web-dev,Linux,B1,Node.js 22-lts,Running,Central US,app-synaptic-flow-centraus-dev-gbbthuceaqbrdgf8.centralus-01.azurewebsites.net,17.29,93.87
RG-CONNECTINGCOUPLES-PRD,as-connectingcouples-prd-cus-api,asp-connectingcouples-prd-cus-api,Windows,S1,.NET 8.0,Running,Central US,as-connectingcouples-prd-cus-api-euhgd9adczg7engx.centralus-01.azurewebsites.net,1.24,18.75
RG-CONNECTINGCOUPLES-PRD,as-connectingcouples-accessfusion-prd-api,asp-connectingcouples-prd-cus-api,Windows,S1,.NET 8.0,Running,Central US,as-connectingcouples-accessfusion-prd-api-fygbgwaadtedgtb7.centralus-01.azurewebsites.net,7.04,50.75
csnainc,csnainc,FreeAppServicePlan,Windows,S1,.NET Framework 4.0,Stopped,Central US,csnainc.azurewebsites.net,0.52,9.91
DigitalToken,remotedigitaltoken,FreeAppServicePlan,Windows,S1,.NET Framework 4.0,Stopped,Central US,remotedigitaltoken.azurewebsites.net,0.54,9.73
citris,devcitris,FreeAppServicePlan,Windows,S1,.NET 6.0,Stopped,Central US,devcitris.azurewebsites.net,0.5,8.66
CSNADashboard,defaultui,FreeAppServicePlan,Windows,S1,.NET Framework 4.0,Stopped,Central US,defaultui.azurewebsites.net,0.52,9.81
IPSS_DEV,ipssdevapp,FreeAppServicePlan,Windows,S1,.NET Framework 4.0,Stopped,Central US,ipssdevapp.azurewebsites.net,0,0
igitenterprise,ezcheckinpwa,FreeAppServicePlan,Windows,S1,.NET Framework 4.0,Stopped,Central US,ezcheckinpwa.azurewebsites.net,0.59,10.67
DigitalToken,digitaltokencoreapi,FreeAppServicePlan,Windows,S1,.NET Framework 4.0,Running,Central US,digitaltokencoreapi.azurewebsites.net,0.71,20.03
